instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,range,range_temp
213,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1,0-5,0-0.34
214,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3,0-5,0-0.34
215,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3,0-5,0-0.34
216,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31,6-11,0-0.34
217,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77,6-11,0-0.34
218,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188,6-11,0-0.34
219,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94,6-11,0-0.34
220,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31,6-11,0-0.34
221,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30,6-11,0-0.34
222,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52,12-17,0-0.34
223,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54,12-17,0-0.34
224,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47,12-17,0-0.34
225,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45,12-17,0-0.34
226,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74,12-17,0-0.34
227,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178,12-17,0-0.34
228,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155,18-23,0-0.34
229,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95,18-23,0-0.34
230,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74,18-23,0-0.34
231,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38,18-23,0-0.34
232,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24,18-23,0-0.34
233,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18,18-23,0-0.34
234,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12,0-5,0-0.34
235,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3,0-5,0-0.34
236,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3,0-5,0-0.34
237,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6,0-5,0-0.34
238,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27,6-11,0-0.34
239,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,2,97,99,6-11,0-0.34
240,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217,6-11,0-0.34
241,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130,6-11,0-0.34
242,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54,6-11,0-0.34
243,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35,6-11,0-0.34
244,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57,12-17,0-0.34
245,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,52,12-17,0-0.34
246,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,63,12-17,0-0.34
247,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,2,45,47,12-17,0-0.34
248,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,76,12-17,0-0.34
249,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,136,12-17,0-0.34
250,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,95,18-23,0-0.34
251,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0.0,0,51,51,18-23,0-0.34
252,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,0,32,32,18-23,0-0.34
253,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,0,20,20,18-23,0-0.34
254,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,1,28,29,18-23,0-0.34
255,1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,1,18,19,18-23,0-0.34
256,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,0,7,7,0-5,0-0.34
257,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,0,6,6,0-5,0-0.34
258,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,0,1,1,0-5,0-0.34
259,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,0,5,5,0-5,0-0.34
260,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,0,16,16,6-11,0-0.34
261,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,0,54,54,6-11,0-0.34
262,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,3,125,128,6-11,0-0.34
263,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,3,78,81,6-11,0-0.34
264,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,0,39,39,6-11,0-0.34
267,1,0,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,0,49,49,12-17,0-0.34
268,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,0,44,44,12-17,0-0.34
270,1,0,1,16,0,3,1,1,0.22,0.197,0.44,0.3284,5,63,68,12-17,0-0.34
271,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,0,139,139,12-17,0-0.34
274,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,2,54,56,18-23,0-0.34
275,1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,0,57,57,18-23,0-0.34
278,1,0,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,1,6,7,0-5,0-0.34
279,1,0,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,0,2,2,0-5,0-0.34
280,1,0,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,0,2,2,0-5,0-0.34
281,1,0,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284,0,3,3,0-5,0-0.34
282,1,0,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537,0,4,4,0-5,0-0.34
283,1,0,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985,0,3,3,0-5,0-0.34
284,1,0,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343,0,28,28,6-11,0-0.34
285,1,0,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,0,72,72,6-11,0-0.34
286,1,0,1,8,0,4,1,1,0.14,0.1364,0.5,0.194,5,197,202,6-11,0-0.34
287,1,0,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,2,137,139,6-11,0-0.34
288,1,0,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,2,36,38,6-11,0-0.34
293,1,0,1,15,0,4,1,1,0.24,0.2121,0.38,0.2985,5,55,60,12-17,0-0.34
294,1,0,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582,2,76,78,12-17,0-0.34
295,1,0,1,17,0,4,1,1,0.2,0.1818,0.4,0.2836,4,158,162,12-17,0-0.34
296,1,0,1,18,0,4,1,1,0.2,0.1818,0.4,0.3284,3,141,144,18-23,0-0.34
297,1,0,1,19,0,4,1,1,0.16,0.1515,0.47,0.2537,1,98,99,18-23,0-0.34
298,1,0,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239,0,64,64,18-23,0-0.34
299,1,0,1,21,0,4,1,1,0.14,0.1212,0.46,0.2985,0,40,40,18-23,0-0.34
300,1,0,1,22,0,4,1,1,0.14,0.1212,0.46,0.3284,0,30,30,18-23,0-0.34
301,1,0,1,23,0,4,1,1,0.12,0.1364,0.5,0.194,1,14,15,18-23,0-0.34
302,1,0,1,0,0,5,1,1,0.12,0.1364,0.5,0.194,0,14,14,0-5,0-0.34
303,1,0,1,1,0,5,1,1,0.1,0.1212,0.54,0.1642,0,5,5,0-5,0-0.34
